THE 451 Theatre Internship|19
THE 498 Independent Study|19
THE 499 Independent Study|19
CM 100 Public Speaking Practicum|20
CM 101 Public Speaking Practicum|20
CM 102 Public Speaking Practicum|20
CM 103 Public Speaking Practicum|20
CM 104 Human Communication|20
CM 120 Broadcast Performance I|20
CM 132 Radio Practicum|20
CM 133 Radio Practicum|20
CM 134 Radio Practicum|20
CM 135 Radio Practicum|20
CM 150 Beginning Sign Language|20
CM 206 Communication Theory|20
CM 207 Rhetoric and Public Address|20
CM 211 Mass Communication|20
CM 212 Public Speaking|20
CM 220 Media Sales|20
CM 221 Introduction to Public Relations|20
CM 225 Introduction to New Media|20
CM 226 Audio Production|20
CM 231 Radio Production|20
CM 242 Video Production I|20
CM 246 Business Communication for Professionals|20
CM 250 Advanced Sign Language|20
CM 271 Print Media Writing|20
CM 304 Group Discussion|20
CM 310 Argumentation and Debate|20
CM 320 Broadcast Performance II|20
CM 321 Writing for Public Relations|20
CM 322 Media Relations|20
CM 323 Publications Editing and Design|20
CM 324 Public Relations Events and Promotions|20
CM 327 Persuasion|20
CM 328 Organizational Communication|20
CM 329 Interpersonal Communication|20
CM 330 Nonlinear Editing|20
CM 332 Broadcast Media Writing|20
CM 333 Broadcast Portfolio I|20
CM 336 Audio Production II|20
CM 340 News Writing and Production|20
CM 341 Video Production II|20
CM 355 Broadcast and Online Reporting|20
CM 402 Communication Seminar|20
CM 410 Media Management|20
CM 415 Public Relations Planning|20
CM 421 Public Relations Campaigns|20
CM 423 Crisis Communications Management|20
CM 426 Audio Production III|20
CM 431 Advanced Production|20
CM 433 Broadcast Portfolio II|20
CM 434 Media Law and Ethics|20
CM 444 Special Topics in Communication|20
CM 450 Communication Internship|20
CM 451 Communication Internship|20
CM 498 Independent Study|20
CM 499 Independent Study|20
EDU 200 Foundations of Education|21
EDU 210 Educational Technology|21
EDU 225 Instructional Needs of English Language Learners|21
EDU 230 Introduction to the Arts|21
EDU 240 Educational Assessment|21
EDU 250 Science Concepts in Education|21
EDU 260 Effective Communication in the Field of Education|21
EDU 270-280 Special Topics in Education|21
EDU 290 Education Technology Theory and Design|21
EDU 291 Distance-Enabling Instructional Technologies|21
EDU 292 Education Media and Digital Spaces|21
EDU 340 Curriculum Development|21
EDU 375 Psychology of Learning/Secondary Education|21
EDU 380 Topics in Children's Literature|21
EDU 390 Education Technology Practicum|21
EDU 450 Curriculum - Instruction and Assessment|21
ECH 102 Field Experience Stage 2|22
ECH 103 Field Experience Stage 3A|22
ECH 104 Field Experience Stage 3B|22
ECH 105 Field Experience Stage 3C|22
ECH 210 Educational Technology for Early Elementrary Learning|22
ECH 220 Instruction and Curriculum Development|22
ECH 230 Early Childhood Theory and Practice|22
ECH 240 Early Educational Assessment|22
ECH 250 Professionalism and Partnerships in Early Childhood Education|22
ECH 301 Literacy and Language for Young Children|22
ECH 304 Teaching Language Arts|22
ECH 310 Diagnostic Reading & Instruction|22
ECH 315 Teaching Social Studies at the Early Childhood Level|22
ECH 320 Teaching Mathematics at the Early Childhood Level|22
ECH 330 Teaching Science at the Early Childhood Level|22
ECH 475 Directed Professional Educational Experience in Early Childhood Education|22
ECH 480 Focused Studies in Early Childhood Education|22
ECH 485 Student Teaching Practicum in Early Childhood Education|22
ECH 490 Selected Topics in Early Childhood Education|22
ECH 493 Student Assistance Seminar|22
ECH 494 Professional Practicum in Student Teaching|22
ECH 495 Student Teaching in Early Childhood Education|22
MLE 201 Middle Level Program Field Experience I|23
MLE 300 Teaching Language Arts|23
MLE 301 Middle Level Education Program Field Experience II|23
MLE 310 Diagnostic Reading & Instruction|23
MLE 315 Teaching Social Studies at the Middle Level|23
MLE 320 Teaching Mathematics at the Middle Level|23
MLE 330 Teaching Science at the Middle Level|23
MLE 350 Content Pedagogies for the Middle School|23
MLE 475 Directed Professional Educational Experience in Middle Level Education|23
MLE 480 Focused Studies in Middle Level Education|23
MLE 485 Student Teaching Practicum in Middle Level Education|23
MLE 494 Professional Practicum|23
MLE 495 Student Teaching in Middle Level Education|23
